date, timestamp, heart rate
2019-06-13 13:44:17 +0000, 00:05:12, 122
2019-06-13 13:44:18 +0000, 00:05:13, 123
2019-06-13 13:44:19 +0000, 00:05:14, 136
2019-06-13 13:44:20 +0000, 00:05:16, 159
2019-06-13 13:44:21 +0000, 00:05:16, 174
2019-06-13 13:44:22 +0000, 00:05:17, 182
2019-06-13 13:44:23 +0000, 00:05:19, 189
2019-06-13 13:44:24 +0000, 00:05:19, 193
2019-06-13 13:44:25 +0000, 00:05:20, 197
2019-06-13 13:44:26 +0000, 00:05:21, 198
2019-06-13 13:44:27 +0000, 00:05:22, 197
2019-06-13 13:44:28 +0000, 00:05:23, 195
2019-06-13 13:44:29 +0000, 00:05:24, 192
2019-06-13 13:44:30 +0000, 00:05:25, 187
2019-06-13 13:44:31 +0000, 00:05:26, 185
2019-06-13 13:44:32 +0000, 00:05:27, 175
2019-06-13 13:44:33 +0000, 00:05:29, 171
2019-06-13 13:44:34 +0000, 00:05:29, 169
2019-06-13 13:44:35 +0000, 00:05:30, 165
2019-06-13 13:44:36 +0000, 00:05:31, 164
2019-06-13 13:44:37 +0000, 00:05:32, 155
2019-06-13 13:44:38 +0000, 00:05:33, 146
2019-06-13 13:44:39 +0000, 00:05:34, 141
2019-06-13 13:44:40 +0000, 00:05:35, 142
2019-06-13 13:44:42 +0000, 00:05:37, 145
2019-06-13 13:44:43 +0000, 00:05:39, 148
2019-06-13 13:44:44 +0000, 00:05:39, 153
2019-06-13 13:44:44 +0000, 00:05:40, 154
2019-06-13 13:44:45 +0000, 00:05:40, 154
2019-06-13 13:44:46 +0000, 00:05:41, 158
2019-06-13 13:44:47 +0000, 00:05:42, 165
2019-06-13 13:44:48 +0000, 00:05:43, 167
2019-06-13 13:44:50 +0000, 00:05:45, 166
2019-06-13 13:44:50 +0000, 00:05:46, 163
2019-06-13 13:44:51 +0000, 00:05:46, 161
2019-06-13 13:44:52 +0000, 00:05:47, 158
2019-06-13 13:44:53 +0000, 00:05:48, 147
2019-06-13 13:44:54 +0000, 00:05:49, 138
2019-06-13 13:44:55 +0000, 00:05:50, 134
2019-06-13 13:44:56 +0000, 00:05:51, 144
2019-06-13 13:44:57 +0000, 00:05:52, 150
2019-06-13 13:44:58 +0000, 00:05:53, 153
2019-06-13 13:44:59 +0000, 00:05:54, 154
2019-06-13 13:45:00 +0000, 00:05:55, 160
2019-06-13 13:45:01 +0000, 00:05:56, 168
2019-06-13 13:45:02 +0000, 00:05:57, 173
2019-06-13 13:45:03 +0000, 00:05:58, 176
2019-06-13 13:45:04 +0000, 00:05:59, 176
2019-06-13 13:45:05 +0000, 00:06:00, 175
2019-06-13 13:45:06 +0000, 00:06:01, 168
2019-06-13 13:45:07 +0000, 00:06:02, 159
2019-06-13 13:45:08 +0000, 00:06:03, 155
2019-06-13 13:45:09 +0000, 00:06:04, 151
2019-06-13 13:45:10 +0000, 00:06:05, 148
2019-06-13 13:45:11 +0000, 00:06:06, 143
2019-06-13 13:45:12 +0000, 00:06:07, 140
2019-06-13 13:45:13 +0000, 00:06:08, 139
2019-06-13 13:45:14 +0000, 00:06:09, 136
2019-06-13 13:45:15 +0000, 00:06:11, 135
2019-06-13 13:45:16 +0000, 00:06:11, 131
2019-06-13 13:45:17 +0000, 00:06:12, 130
2019-06-13 13:45:18 +0000, 00:06:13, 129
2019-06-13 13:45:19 +0000, 00:06:14, 126
2019-06-13 13:45:20 +0000, 00:06:16, 123
2019-06-13 13:45:21 +0000, 00:06:16, 121
2019-06-13 13:45:22 +0000, 00:06:17, 122
2019-06-13 13:45:23 +0000, 00:06:18, 122
2019-06-13 13:45:24 +0000, 00:06:19, 126
2019-06-13 13:45:25 +0000, 00:06:20, 131
2019-06-13 13:45:26 +0000, 00:06:21, 136
2019-06-13 13:45:27 +0000, 00:06:22, 137
2019-06-13 13:45:28 +0000, 00:06:23, 131
2019-06-13 13:45:29 +0000, 00:06:24, 133
2019-06-13 13:45:30 +0000, 00:06:25, 147
2019-06-13 13:45:31 +0000, 00:06:26, 161
2019-06-13 13:45:32 +0000, 00:06:27, 172
2019-06-13 13:45:33 +0000, 00:06:29, 178
2019-06-13 13:45:34 +0000, 00:06:30, 179
2019-06-13 13:45:35 +0000, 00:06:31, 188
2019-06-13 13:45:37 +0000, 00:06:32, 199
2019-06-13 13:45:38 +0000, 00:06:33, 206
2019-06-13 13:45:38 +0000, 00:06:34, 205
2019-06-13 13:45:39 +0000, 00:06:35, 205
2019-06-13 13:45:40 +0000, 00:06:36, 203
2019-06-13 13:45:41 +0000, 00:06:37, 200
2019-06-13 13:45:42 +0000, 00:06:38, 174
2019-06-13 13:45:43 +0000, 00:06:39, 183
2019-06-13 13:45:44 +0000, 00:06:40, 189
2019-06-13 13:45:45 +0000, 00:06:41, 190
2019-06-13 13:45:46 +0000, 00:06:42, 188
2019-06-13 13:45:47 +0000, 00:06:43, 193
2019-06-13 13:45:48 +0000, 00:06:44, 199
2019-06-13 13:45:49 +0000, 00:06:45, 210
2019-06-13 13:45:50 +0000, 00:06:46, 214
2019-06-13 13:45:51 +0000, 00:06:47, 212
2019-06-13 13:45:52 +0000, 00:06:48, 205
2019-06-13 13:45:53 +0000, 00:06:49, 194
2019-06-13 13:45:54 +0000, 00:06:50, 194
2019-06-13 13:45:56 +0000, 00:06:51, 199
2019-06-13 13:45:58 +0000, 00:06:53, 200
2019-06-13 13:45:58 +0000, 00:06:54, 196
2019-06-13 13:45:59 +0000, 00:06:55, 187
2019-06-13 13:46:00 +0000, 00:06:56, 190
2019-06-13 13:46:01 +0000, 00:06:57, 205
2019-06-13 13:46:02 +0000, 00:06:58, 210
2019-06-13 13:46:04 +0000, 00:07:00, 207
2019-06-13 13:46:05 +0000, 00:07:00, 202
