date, rr, since start
2019-06-13 13:48:41 +0000, 436, 571175
2019-06-13 13:48:41 +0000, 427, 571602
2019-06-13 13:48:42 +0000, 419, 572021
2019-06-13 13:48:42 +0000, 456, 572477
2019-06-13 13:48:43 +0000, 437, 572914
2019-06-13 13:48:43 +0000, 420, 573334
2019-06-13 13:48:43 +0000, 416, 573750
2019-06-13 13:48:44 +0000, 416, 574166
2019-06-13 13:48:44 +0000, 415, 574581
2019-06-13 13:48:45 +0000, 429, 575010
2019-06-13 13:48:46 +0000, 537, 575547
2019-06-13 13:48:46 +0000, 511, 576058
2019-06-13 13:48:47 +0000, 540, 576598
2019-06-13 13:48:47 +0000, 493, 577091
2019-06-13 13:48:48 +0000, 761, 577852
2019-06-13 13:48:49 +0000, 685, 578537
2019-06-13 13:48:49 +0000, 581, 579118
2019-06-13 13:48:50 +0000, 625, 579743
2019-06-13 13:48:50 +0000, 620, 580363
2019-06-13 13:48:51 +0000, 519, 580882
2019-06-13 13:48:51 +0000, 470, 581352
2019-06-13 13:48:52 +0000, 454, 581806
2019-06-13 13:48:52 +0000, 433, 582239
2019-06-13 13:48:52 +0000, 437, 582676
2019-06-13 13:48:53 +0000, 439, 583115
2019-06-13 13:48:53 +0000, 424, 583539
2019-06-13 13:48:54 +0000, 414, 583953
2019-06-13 13:48:54 +0000, 409, 584362
2019-06-13 13:48:55 +0000, 412, 584774
2019-06-13 13:48:55 +0000, 436, 585210
2019-06-13 13:48:56 +0000, 456, 585666
2019-06-13 13:48:56 +0000, 478, 586144
2019-06-13 13:48:57 +0000, 533, 586677
2019-06-13 13:48:57 +0000, 586, 587263
2019-06-13 13:48:58 +0000, 626, 587889
2019-06-13 13:48:59 +0000, 664, 588553
2019-06-13 13:48:59 +0000, 539, 589092
2019-06-13 13:49:00 +0000, 721, 589813
2019-06-13 13:49:00 +0000, 491, 590304
2019-06-13 13:49:01 +0000, 453, 590757
2019-06-13 13:49:01 +0000, 433, 591190
2019-06-13 13:49:02 +0000, 433, 591623
2019-06-13 13:49:02 +0000, 474, 592097
2019-06-13 13:49:03 +0000, 594, 592691
2019-06-13 13:49:03 +0000, 561, 593252
2019-06-13 13:49:04 +0000, 588, 593840
